Genres List,Image Book Cover Url,Book Title,Author Name,Rating,No Of Rating,Amazon Link,No Of Pages,Detail Url
"Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405868167i/662.jpg,Atlas Shrugged,Ayn Rand,3.69,400309,https://www.amazon.com/gp/product/B003V8B5XO/,1168,https://www.goodreads.com/book/show/662.Atlas_Shrugged
"Fiction, Classics, Literature, Spanish Literature, Historical Fiction, Adventure, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546112331i/3836.jpg,Don Quixote,Miguel de Cervantes Saavedra,3.9,292365,https://www.amazon.com/gp/product/B0CG4B758H/,1023,https://www.goodreads.com/book/show/3836.Don_Quixote
"Fiction, Historical Fiction, Africa, Book Club, Classics, Literary Fiction, Historical",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644073807i/7244.jpg,The Poisonwood Bible,Barbara Kingsolver,4.11,771370,https://www.amazon.com/gp/product/B000QTE9WU/,546,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
"Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1627044952i/58613424.jpg,Harry Potter and the Goblet of Fire,J.K. Rowling,4.57,3999047,https://www.amazon.com/gp/product/B0192CTMUU/,752,https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire
"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Book Club, Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1638425885i/16299.jpg,And Then There Were None,Agatha Christie,4.28,1505709,https://www.amazon.com/gp/product/B000FC1RCI/,264,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
"Fiction, Literature, Novels, American, School, Adventure, Literary Fiction",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165.jpg,The Old Man and the Sea,Ernest Hemingway,3.81,1240693,https://www.amazon.com/gp/product/B0DBRS6VJL/,96,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
"Fiction, Classics, Young Adult, School, Dystopia, Literature, Read For School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624.jpg,Lord of the Flies,William Golding,3.7,3074482,https://www.amazon.com/gp/product/B006VXVT64/,182,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
"Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348317139i/252577.jpg,Angela’s Ashes,Frank McCourt,4.15,646556,https://www.amazon.com/gp/product/B000FBJFSC/,452,https://www.goodreads.com/book/show/252577.Angela_s_Ashes
"Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg,The Golden Compass,Philip Pullman,4.03,1581608,https://www.amazon.com/gp/product/B000FC1ICM/,399,https://www.goodreads.com/book/show/119322.The_Golden_Compass
"Fiction, Philosophy, Spirituality, Literature, Classics, Buddhism, German Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629378189i/52036.jpg,Siddhartha,Hermann Hesse,4.08,830790,https://www.amazon.com/gp/product/B00PCBBWP4/,152,https://www.goodreads.com/book/show/52036.Siddhartha
"Fiction, Science Fiction, Dystopia, Horror, Literature, Novels, Banned Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486.jpg,A Clockwork Orange,Anthony Burgess,4.0,745610,https://www.amazon.com/gp/product/B005HSGB6W/,240,https://www.goodreads.com/book/show/41817486-a-clockwork-orange
"Fiction, Historical Fiction, Book Club, Classics, Young Adult, Coming Of Age, Historical",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891.jpg,A Tree Grows in Brooklyn,Betty  Smith,4.3,490656,https://www.amazon.com/gp/product/B000FCK65W/,496,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
"Historical Fiction, School, Literature, Young Adult, Historical, Read For School, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554368352i/2654.jpg,To Kill a Mockingbird,Harper Lee,4.26,6578466,https://www.amazon.com/gp/product/B00K0OI42W/,323,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird
"Fantasy, Young Adult, Vampires, Paranormal, Romance, Urban Fantasy, Fiction",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361098973i/345627.jpg,Vampire Academy,Richelle Mead,4.11,668839,https://www.amazon.com/gp/product/B000UZPIE8/,332,https://www.goodreads.com/book/show/345627.Vampire_Academy
"Fiction, Science Fiction, Dystopia, Post Apocalyptic, Horror, Book Club, Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600241424i/6288.jpg,The Road,Cormac McCarthy,4.0,979517,https://www.amazon.com/gp/product/B000OI0G1Q/,241,https://www.goodreads.com/book/show/6288.The_Road
"Fantasy, Classics, Fiction, Adventure, Audiobook, High Fantasy, Science Fiction Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351.jpg,The Fellowship of the Ring,J.R.R. Tolkien,4.4,2995470,https://www.amazon.com/gp/product/B007978NPG/,432,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
"Fiction, Classics, Psychology, Literature, Novels, Mental Health, School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613.jpg,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,759907,https://www.amazon.com/gp/product/B002J05GU8/,325,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
